student_id,gender,percentage_10,percentage_12,cgpa_sem,basic_aptitude,grade_ICP,grade_OOPS,grade_DSA,grade_DAA,grade_DBMS,grade_OS,grade_CN,grade_IWT,grade_CPMAD,grade_AJ,grade_AWT,communication_skill,aptitude_training_perf,coding_training_perf,national_test_score,amcat_score,num_hackathons,leetcode_solved,github_contrib_score,num_projects,project_depth,num_internships,internship_quality,research_papers,certification_count,attendance_percent,mock_interview_score,personality_score,placement_status
S0001,Male,80.21,82.12,8.1,3,A+,C,A+,B,C,A-,A-,A,B-,A-,A,4,2,2,4,38,0,163,16,3,4,3,0,1,4,84,5,3,1
S0002,Female,81.45,85.95,7.09,1,A-,B,C,A-,C,A+,B,A,A,B+,A,1,5,5,5,70,2,79,0,5,3,3,2,2,4,74,1,4,0
S0003,Female,80.56,65.04,7.73,2,B-,B,B+,A,A,B+,A,B+,A-,A,B+,2,3,4,0,79,2,172,11,3,1,3,1,2,7,88,4,5,1
S0004,Male,75.9,58.12,8.14,2,B-,A,C,A,A,B,B+,A,A,A+,A,3,1,2,5,39,1,178,11,4,0,2,1,2,7,70,2,1,1
S0005,Male,73.03,82.2,6.81,1,A,A,A,C,A-,B,B,C,A+,A-,C,5,4,3,1,83,2,45,10,5,2,1,2,1,1,64,2,4,1
S0006,Male,73.49,77.01,7.41,1,B+,A-,A,A,A+,B+,B+,B-,A,B+,A-,1,3,5,2,39,2,255,10,1,1,1,1,1,7,83,2,5,0
S0007,Male,73.05,73.29,7.43,3,B,B,A-,B-,B,A+,B,A+,A-,B,A-,4,1,3,0,36,2,131,15,2,1,3,0,2,6,58,3,3,1
S0008,Female,86.34,76.65,8.49,1,A,B,B,B+,A+,A-,B+,B+,A+,B+,B,2,3,2,4,61,0,169,4,4,4,0,2,0,5,52,2,1,1
S0009,Female,80.94,75.88,6.22,3,A-,A-,B+,A+,A+,C,A,B,B+,B,A+,5,5,5,1,83,0,135,8,5,0,2,1,0,2,59,2,5,0
S0010,Female,45.6,87.41,7.44,5,B+,B,C,B+,B+,A,A-,A,A-,A,B,2,4,3,2,99,2,104,9,0,3,0,1,2,4,99,1,4,0
S0011,Male,81.56,87.54,9.79,2,A,B-,A+,B-,C,A,B+,B+,A+,A+,B,3,3,4,5,92,0,25,10,2,3,2,0,1,1,64,4,5,1
S0012,Female,76.95,78.53,8.9,2,A+,A+,B,B,A-,B,B,A-,B,A,B+,4,4,1,4,63,0,0,2,4,1,2,1,1,8,65,4,5,0
S0013,Female,74.81,82.15,9.12,2,A,B+,A,B+,A-,B,B,A,B,B,C,5,2,1,2,72,3,253,10,1,1,2,0,0,4,62,5,1,1
S0014,Male,71.11,78.17,7.53,5,B,B,A,B-,D,C,A-,B,B-,B,B+,5,2,3,5,34,2,210,7,3,0,0,3,1,7,93,2,2,0
S0015,Male,86.24,66.47,7.89,5,A+,B+,B+,A,B+,A-,C,D,B+,A,B,1,5,1,1,48,0,209,0,4,1,0,1,2,4,93,4,5,1
S0016,Male,84.48,81.08,8.7,4,A,B,B+,C,A-,B+,A,A-,C,A+,C,2,5,4,2,83,2,89,16,0,2,3,2,1,9,50,4,1,1
S0017,Male,67.27,55.27,9.37,3,A,B+,A,B-,A-,B+,A,B+,C,B,B,5,2,4,0,43,0,38,15,0,3,2,0,1,8,96,4,1,1
S0018,Male,79.07,84.65,5.16,3,A+,D,A,B,A,C,A,A,B+,B-,A-,2,3,3,0,39,0,26,15,0,2,1,0,2,0,82,4,3,1
S0019,Male,65.28,57.67,5.92,4,A,A+,A-,B-,B+,B,A,B-,A-,B,A+,3,1,4,1,78,0,197,2,5,4,2,1,0,5,57,1,3,1
